Model,RMSE,MAE,R2,Spearman_IC,Hit_Rate,LS_Spread,Top_Decile
ElasticNet (Optuna),58.93527763328905,36.98437429721183,-0.0579910855513559,0.15913518504389998,0.7054669703872437,16.207875079855285,21.969231672544378
Lasso (Optuna),58.79238252513791,36.93146602099888,-0.0528668720681198,0.14745603476066643,0.7022779043280182,18.370680297255184,23.864957512064912
PCA + Ridge,58.93511405184595,36.5990997193536,-0.05798521241474508,0.131090070639054,0.70250569476082,13.62855897051597,20.721921930546582
Linear Regression,58.83167135246436,37.142922606286376,-0.0542745281156467,0.08011375440653959,0.669248291571754,10.097853237612789,18.034106470155585
Ridge (Optuna),58.80389356731266,37.11080292058083,-0.05327919696139172,0.07047904171654779,0.675626423690205,9.088203267280665,17.78830864609298
